tweet;nb_com;nb_rt;nb_like
I want to build other channels like beast gaming and beast reacts so I can run my main channel at a loss and grow as big as possible. And then use my main channel’s influence to one day open hundreds of homeless shelters/food banks and give away all the money.;12600;20200;327300
Like this tweet if you want to be a Youtuber one day;9300;6500;328800
One of the coordinates is 0, don’t pick the wrong one :);796;557;65800
It’s as easy as ABCDE;4000;1900;138000
$1,000 AutoZone $1,000 Burger King $1,000 Smoothie King $1,000 Starbucks $1,000 eBay $1,000 Steam  $1,000 Nintendo eShop $1,000 Playstation store $1,000 Whole Foods $1,000 Big Lots  Lol;631;696;37300
Here is a list of the gift cards! $10,000 Best Buy $10,000 GameStop $10,000 Hardee’s $10,000 Taco Bell $10,000 Amazon $10,000 IKEA $5,000 Waffle House $5,000 Bass Pro Shop $5,000 Target $5,000 KFC $5,000 Air BnB $5,000 Apple gift card  $5,000 Walmart;1000;1100;43000
"$50,000 of which are in books for the winner to show on stream to their viewers ;)";323;487;49000
"$50,000 of which are in books for the winner to show on stream to their viewers ;)";323;487;49000
I hid $100,000 worth of gift cards on the DreamSMP! Good luck!;2800;4700;166800
I’m also still hiring editors! I genuinely want to make the best videos possible so only apply if you’re obsessed with editing!;610;493;17000
I’m hiring! Between the main channel, gaming, shorts, reaction, and the beast philanthropy channel (about to launch) i’m going to need help with strategy! If you love data/analytics and YouTube, apply below! Only apply if you’re obsessed with YouTube ;2800;2600;63600
Whoever is in charge of Among Us skins, can I have one as well? ;951;975;85000
Ayyy, we got a skin in Fall Guys!;2300;3700;198800
I’m going to give 5 people that retweet this tweet $10,000 each to celebrate Christmas! (Make sure you follow me so I can dm you if you win!). I will show proof!;82900;1,1 M;634000
Just finished recording something for Mr Beast’s YouTube Rewind...;29200;38300;431000
I bought a million Christmas lights and 3 houses. Whoever designed their house the best got to keep the house! :);2200;1900;131100
I see your tweets and I’m trying to double and triple the amount of restaurants asap! I want you all to be able to try a MrBeast Burgers ;8900;3100;171300
DUDE THIS IS SO DOPE  @MrBeastYT;368;1000;50300
I betrayed my master ;926;1000;63800
Thank you for supporting MrBeast Burgers!!!! I love this community so much ;3500;2500;215100
I’m sorry the app keeps crashing, 10s of thousands of people keep trying to order at the same time  We upgraded the servers so it should be fine now!;1100;616;68100
